X(m)	Mach	V(m/s)	P(Pa)	T(K)	Rho(kg/m3)	H	H2	O	O2	OH	HO2	H2O2	AR	H2O	Therm(1/s)
2.30E-06	0.44014169	404.36062	587363.27	1941.6383	1.0022944	2.21E-08	0.021653434	1.06E-08	0.17179279	9.09E-07	2.68E-07	2.61E-10	0.80655231	2.60E-07	-259.83368
2.41E-06	0.44014167	404.36058	587363.29	1941.6382	1.0022945	2.37E-08	0.021653427	1.18E-08	0.17179272	9.43E-07	2.81E-07	2.86E-10	0.80655231	2.84E-07	-254.86921
2.52E-06	0.44014164	404.36054	587363.3	1941.6381	1.0022946	2.54E-08	0.02165342	1.31E-08	0.17179265	9.77E-07	2.94E-07	3.12E-10	0.80655231	3.09E-07	-250.04108
2.64E-06	0.44014162	404.36051	587363.32	1941.638	1.0022946	2.71E-08	0.021653413	1.46E-08	0.17179259	1.01E-06	3.07E-07	3.40E-10	0.80655231	3.34E-07	-245.34531
2.75E-06	0.44014159	404.36048	587363.33	1941.6379	1.0022947	2.89E-08	0.021653406	1.61E-08	0.17179252	1.04E-06	3.20E-07	3.68E-10	0.80655231	3.61E-07	-240.77806
2.86E-06	0.44014157	404.36044	587363.34	1941.6378	1.0022948	3.07E-08	0.021653399	1.77E-08	0.17179245	1.07E-06	3.33E-07	3.98E-10	0.80655231	3.88E-07	-236.33557
2.97E-06	0.44014155	404.36041	587363.36	1941.6376	1.0022949	3.26E-08	0.021653392	1.93E-08	0.17179238	1.11E-06	3.46E-07	4.28E-10	0.80655231	4.16E-07	-232.01419
3.08E-06	0.44014153	404.36038	587363.37	1941.6375	1.002295	3.45E-08	0.021653384	2.11E-08	0.17179231	1.14E-06	3.59E-07	4.60E-10	0.80655231	4.45E-07	-227.81035
3.19E-06	0.4401415	404.36035	587363.38	1941.6374	1.002295	3.64E-08	0.021653377	2.30E-08	0.17179224	1.17E-06	3.72E-07	4.93E-10	0.80655231	4.75E-07	-223.7206
3.30E-06	0.44014148	404.36032	587363.39	1941.6373	1.0022951	3.84E-08	0.02165337	2.49E-08	0.17179217	1.20E-06	3.85E-07	5.27E-10	0.80655231	5.05E-07	-219.74157
3.42E-06	0.44014146	404.36029	587363.41	1941.6372	1.0022952	4.04E-08	0.021653362	2.70E-08	0.1717921	1.22E-06	3.98E-07	5.62E-10	0.80655231	5.36E-07	-215.87
3.53E-06	0.44014144	404.36026	587363.42	1941.6371	1.0022953	4.25E-08	0.021653354	2.91E-08	0.17179203	1.25E-06	4.11E-07	5.97E-10	0.80655231	5.68E-07	-212.10269
3.64E-06	0.44014142	404.36023	587363.43	1941.637	1.0022953	4.45E-08	0.021653346	3.13E-08	0.17179196	1.28E-06	4.24E-07	6.34E-10	0.80655231	6.01E-07	-208.43654
3.75E-06	0.4401414	404.3602	587363.44	1941.6369	1.0022954	4.66E-08	0.021653339	3.36E-08	0.17179189	1.31E-06	4.37E-07	6.72E-10	0.80655231	6.34E-07	-204.86854
3.86E-06	0.44014138	404.36017	587363.45	1941.6368	1.0022955	4.88E-08	0.021653331	3.60E-08	0.17179182	1.34E-06	4.50E-07	7.11E-10	0.80655231	6.68E-07	-201.39576
3.97E-06	0.44014136	404.36015	587363.46	1941.6367	1.0022955	5.10E-08	0.021653323	3.85E-08	0.17179175	1.36E-06	4.63E-07	7.51E-10	0.80655231	7.03E-07	-198.01534
